time,theta1,d,theta2
0,0.7853981633974483,0.4,-0.523598776
0.01,0.7539822368615503,0.41000000000000003,-0.502654825
0.02,0.7225663103256524,0.42000000000000004,-0.481710874
0.03,0.6911503837897545,0.43000000000000005,-0.460766923
0.04,0.6597344572538566,0.44,-0.439822972
0.05,0.6283185307179586,0.45,-0.41887902
0.06,0.5969026041820606,0.46,-0.397935069
0.07,0.5654866776461627,0.47000000000000003,-0.376991118
0.08,0.5340707511102648,0.48000000000000004,-0.356047167
0.09,0.5026548245743669,0.49,-0.335103216
0.1,0.47123889803846897,0.5,-0.314159265
0.11,0.439822972,0.51,-0.293215314
0.12,0.40840704496667307,0.52,-0.272271363
0.13,0.37699111843077515,0.53,-0.251327412
0.14,0.3455751918948772,0.54,-0.230383461
0.15,0.31415926535897926,0.55,-0.20943951
0.16,0.28274333882308134,0.56,-0.188495559
0.17,0.25132741228718336,0.5700000000000001,-0.167551608
0.18,0.2199114857512855,0.5800000000000001,-0.146607657
0.19,0.18849555921538752,0.5900000000000001,-0.125663706
0.2,0.15707963267948966,0.6000000000000001,-0.104719755
0.21,0.12566370614359168,0.61,-0.083775804
0.22,0.09424778,0.62,-0.062831853
0.23,0.062831853,0.63,-0.041887902
0.24,0.031415926535897865,0.64,-0.020943951
0.25,-1.11E-16,0.65,0
0.26,-0.031415927,0.66,0.020943951023931984
0.27,-0.062831853,0.67,0.041887902047863856
0.28,-0.09424778,0.68,0.062831853
0.29,-0.125663706,0.69,0.083775804
0.3,-0.157079633,0.7,0.10471975511965981
0.31,-0.188495559,0.71,0.12566370614359168
0.32,-0.219911486,0.72,0.14660765716752366
0.33,-0.251327412,0.73,0.16755160819145565
0.34,-0.282743339,0.74,0.18849555921538752
0.35000000000000003,-0.314159265,0.75,0.2094395102393195
0.36,-0.345575192,0.76,0.2303834612632515
0.37,-0.376991118,0.77,0.25132741228718347
0.38,-0.408407045,0.78,0.27227136331111534
0.39,-0.439822972,0.79,0.29321531433504733
0.4,-0.471238898,0.8,0.3141592653589793
0.41000000000000003,-0.502654825,0.81,0.3351032163829112
0.42,-0.534070751,0.8200000000000001,0.35604716740684317
0.43,-0.565486678,0.8300000000000001,0.37699111843077515
0.44,-0.596902604,0.8400000000000001,0.39793506945470714
0.45,-0.628318531,0.8500000000000001,0.41887902
0.46,-0.659734457,0.8600000000000001,0.439822972
0.47000000000000003,-0.691150384,0.8700000000000001,0.460766923
0.48,-0.72256631,0.88,0.48171087355043485
0.49,-0.753982237,0.89,0.5026548245743668
0.5,-0.785398163,0.9,0.5235987755982988
